Altium Designer Pick and Place Locations
D:\Khaled\Hardware\Projects\Actuator Controller ESP32 W5500\24V 20CH ESP32 Actuator Controller\24V 20CH ESP32 Actuator Controller Board\Project Outputs for 24V 20CH ESP32 Actuator Controller\Generates pick and place files\Pick Place for Controller A20.txt

========================================================================================================================
File Design Information:

Date:       29-11-25
Time:       13:43
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

Designator Comment                   Layer       Footprint                    Center-X(mil) Center-Y(mil) Rotation Description                                                                                                                                                                                                                                                 
C112       330u                      TopLayer    SMD_CAP,D10.3XL10.3MM        4692.913      480.315       90       "330 µF 50 V Aluminum Electrolytic Capacitors Radial, Can - SMD 2000 Hrs @ 105°C"                                                                                                                                                                           
C111       330u                      TopLayer    SMD_CAP,D10.3XL10.3MM        4692.913      3637.795      270      "330 µF 50 V Aluminum Electrolytic Capacitors Radial, Can - SMD 2000 Hrs @ 105°C"                                                                                                                                                                           
C312       10n                       BottomLayer C0402                        7124.016      1232.283      270      "10000 pF ±10% 50V Ceramic Capacitor X7R 0402 (1005 Metric)"                                                                                                                                                                                                
C302       4u7                       TopLayer    C0805                        7633.858      1960.630      180      "4.7 µF ±20% 50V Ceramic Capacitor X7R 0805 (2012 Metric)"                                                                                                                                                                                                  
X301       ECS-2520MV-250-BN-TR      TopLayer    SMD2520-4P                   7384.842      2201.102      90       "25 MHz XO (Standard) HCMOS Oscillator 1.6V ~ 3.6V Enable/Disable 4-SMD, No Lead"                                                                                                                                                                           
U405       SN74LV4T125PWR            TopLayer    14-TSSOP                     629.921       1968.504      90       "Buffer, Non-Inverting 4 Element 1 Bit per Element 3-State Output 14-TSSOP"                                                                                                                                                                                 
U404       SN74LV4T125PWR            TopLayer    14-TSSOP                     1417.323      1968.504      90       "Buffer, Non-Inverting 4 Element 1 Bit per Element 3-State Output 14-TSSOP"                                                                                                                                                                                 
U403       SN74LV4T125PWR            TopLayer    14-TSSOP                     2362.205      1968.504      90       "Buffer, Non-Inverting 4 Element 1 Bit per Element 3-State Output 14-TSSOP"                                                                                                                                                                                 
U402       SN74LV4T125PWR            TopLayer    14-TSSOP                     3287.402      1968.504      90       "Buffer, Non-Inverting 4 Element 1 Bit per Element 3-State Output 14-TSSOP"                                                                                                                                                                                 
U401       SN74LV4T125PWR            TopLayer    14-TSSOP                     4133.858      1968.504      90       "Buffer, Non-Inverting 4 Element 1 Bit per Element 3-State Output 14-TSSOP"                                                                                                                                                                                 
U303       USBLC6-2SC6               TopLayer    SOT23-6L                     7124.016      944.882       270      "17V Clamp 5A (8/20µs) Ipp Tvs Diode Surface Mount SOT-23-6"                                                                                                                                                                                                
U302       W5500                     TopLayer    LQFP-48(7X7)                 7062.992      1850.393      90       "Ethernet Controller 10/100 Base-T/TX PHY SPI Interface 48-LQFP (7x7)"                                                                                                                                                                                      
U301       USBLC6-2SC6               TopLayer    SOT23-6L                     6856.299      944.882       270      "17V Clamp 5A (8/20µs) Ipp Tvs Diode Surface Mount SOT-23-6"                                                                                                                                                                                                
U202       USBLC6-2SC6               TopLayer    SOT23-6L                     7118.110      3492.126      270      "17V Clamp 5A (8/20µs) Ipp Tvs Diode Surface Mount SOT-23-6"                                                                                                                                                                                                
U201       ESP32-S3-MINI-1-N8        TopLayer    ESP32-S3-MINI-1-N8           7165.354      2775.591      270      "Small-sized module supporting 2.4 GHz Wi-Fi (802.11b/g/n) and Bluetooth® 5
Built around ESP32-S3 series of SoCs, Xtensa® dual-core 32-bit LX7 microprocessor.
Flash up to 8 MB, optional 2 MB PSRAM in chip package.
39 GPIOs, rich set of peripherals" 
U102       LMR51430YDDCR             TopLayer    SOT-23-6                     5208.661      3409.449      270      "Buck Switching Regulator IC Positive Adjustable 0.6V 1 Output 3A SOT-23-6 Thin, TSOT-23-6"                                                                                                                                                                 
